word
六歲
嗰
年
我
喺
一
本
書
入邊
見
過
幅
好
得人驚
嘅
圖畫
嗰
本
書
記載
真實
故事
係
關於
原始
森林
嘅
幅
圖畫
入面
有
條
蟒蛇
張開
咗
血盤大口
吞
緊
一
隻
野獸
落
肚
下
面
就
係
尼
幅
圖畫
嘅
摹本
本
書
入面
話
啲
蟒蛇
會
咬
都
唔
咬
咁
將
獵物
成隻
鑒生
吞
落
肚
蟒蛇
之後
會
飽
到
想
喐
都
喐
唔
到
然後
足足
瞓
成
六
個
月
先至
消化
得
嗮
肚
裡邊
嘅
食物
嗰
時
開始
我
就
成日
都
幻想
森林
裡邊
嘅
奇遇
仲
成功
用
木
顏色
畫
咗
我
人生
第一
幅
畫
我
叫
佢
做
大作一號
幅
畫
係
咁樣
嘅
我
攞
咗
尼
幅
傑作
畀
啲
大人
睇
仲
問
佢哋
我
幅
畫
有
冇
嚇
親
佢哋
點
知
佢哋
睇
完
之後
竟然
好
冷淡
咁
話
唓
一
頂
帽
啫
有
乜
咁
得人驚
喎
我
幅
畫
明明
都
唔
係
一
頂
帽
而
係
一
條
大
蟒蛇
消化
緊
隻
大笨象
咁
我
唯有
將
條
蟒蛇
肚
入邊
嘅
情況
全部
畫
嗮
出嚟
等
佢哋
睇
得
明明
啲
佢哋
真係
要
畫
公仔
畫
出
腸
噶
我
修改
完
之後
大作二號
就
誕生
啲
大人
睇
完
之後
就
索性
勸
我
無論
係
蟒蛇
嘅
裡面
定係
外面
都
唔
好
再
畫
不如
畀
心機
讀
吓
地理
歷史
數學
文法
等等
仲
好
喎
就
係
咁
六
歲
嗰
年
我
放棄
咗
做
畫家
尼
個
偉大
嘅
夢想
大作一號
同埋
大作二號
嘅
失敗
實在
令到
我
好
洩氣
尼
啲
大人
自己
成日
乜
都
唔
明
係
都
要
啲
細路仔
解釋
尼
樣
解釋
嗰
樣
真係
令
人
好
攰
我
唯有
揀
過
另
一
份
職業
而
最後
我
去
咗
學
揸
飛機
我
差唔多
飛
勻
嗮
全
世界
冇
錯
原來
地理
知識
真係
好
用
得
著
我
可以
一
眼
就
分
得
開
中國
同埋
亞利桑那州
如果
夜晚
飛
嗰
陣
蕩失路
地理
真係
好
有
用
就
係
咁
我
人生
中
接觸
過
好多
好
認真
嘅
人
我
喺
大人
嘅
圈子
裡邊
生活
咗
好
耐
好
耐
我
曾經
好
細心
咁
觀察
佢哋
但
咁
都
冇
改變
到
我
對
佢哋
嘅
睇法
每
當
我
遇到
個
頭腦
好似
比較
清晰
嘅
大人
嗰陣
我
就會
拎
我
一直
保留
住
嘅
大作一號
出嚟
我
想
知道
佢
會
唔
會
睇
得
明
但係
每次
都
總係
聽
到
類似
一
頂
帽
啫
嘅
答案
咁
我
就
唔
會
再
同
佢
提起
大
蟒蛇
呀
原始
森林
呀
星星
呀
嗰
啲
嘢
我
唯有
遷就
佢哋
嘅
水平
同
佢哋
講
下
打
橋牌
呀
高爾夫球
呀
政治
呀
領呔
呀
之類
於是
啲
大人
就會
覺得
搵
到
個
啱
傾
嘅
人
而
好
開心
然後
我
好
孤獨
咁
生活
落
去
又
冇
傾
得
埋
嘅
朋友
一直
到
六
年
前
我
揸
飛機
嗰陣
因為
故障
被
逼
降落
喺
撒哈拉
沙漠
當時
部
飛機
個
引擎
出現
咗
啲
問題
但
又
冇
機械
技工
或者
其他
乘客
同
我
一齊
我
唯有
試
吓
自己
一
個
搞
掂
佢
對
我
嚟
講
尼
個
係
生
死
存
亡
嘅
關頭
因為
我
帶
嘅
水
只係
夠
我
飲
八
日
喺
第一
晚
我
就
瞓
喺
嗰
個
渺無人煙
嘅
大
沙漠
度
甚至
可以
話
比起
喺
大海
中心
抓
住
浮木
嘅
遇難者
仲
孤獨
所以
你
可以
想像
吓
第二
朝
我
幾
咁
驚
呀
天
一
光
竟然
有
把
聲
叫
醒
我
陰聲細氣
咁
講
唔該
幫
我
畫
隻
綿羊仔
呀
咩話
幫
我
畫
隻
綿羊仔
呀
我
嚇
咗
一
跳
好似
畀
雷
劈
中
咁
成個
彈
起身
我
摔
一
摔
對
眼
四圍
望
吓
竟然
發現
有
個
好
奇怪
嘅
細路仔
好
認真
咁
望
實
我
尼
幅
就
係
我
畫
佢
嘅
畫
之中
畫
得
最
好
嘅
一
幅
但係
我
幅
畫
同
佢
真人
仲係
差
好
遠
不過
尼
個
並
唔係
我
嘅
錯
六
歲
嗰
陣
啲
大人
令
我
放棄
咗
做
畫家
所以
