word,token_id,snt_id,onset,offset,pos,log_freq
做,4,13,0.39484,0.5868,VERB,6.42325
大作一號,5,13,0.5868,34.765,NOUN,0
幅,1,14,0.07467,0.22633,PROPN,1.38629
畫,2,14,0.22633,0.35338,NOUN,0.69315
係,3,14,0.35338,0.48165,VERB,8.52119
咁樣,4,14,0.48165,0.85561,PRON,0
嘅,5,14,0.85561,35.814,PART,7.47647
我,1,15,0.52799,0.20036,PRON,7.92154
攞,2,15,0.20036,0.31497,VERB,4.80402
咗,3,15,0.31497,0.41679,PART,6.72863
尼,4,15,0.41679,0.5208,PROPN,0
幅,5,15,0.5208,0.7029,NOUN,1.38629
傑作,6,15,0.7029,1.02404,NOUN,0
畀,7,15,1.02404,1.11652,ADJ,0
啲,8,15,1.11652,1.21053,PART,7.20415
大人,9,15,1.21053,1.55738,NOUN,1.38629
睇,10,15,1.55738,37.757,VERB,6.31716
仲,1,16,0.08631,0.20897,NOUN,0.69315
問,2,16,0.20897,0.42015,VERB,5.03695
佢哋,3,16,0.42015,0.59235,PRON,5.63479
我,4,16,0.59235,0.76454,PRON,7.92154
幅,5,16,0.76454,0.88631,VERB,1.38629
畫,6,16,0.88631,1.15512,NOUN,0.69315
有,7,16,1.15512,1.26352,VERB,7.19744
冇,8,16,1.26352,1.33426,VERB,6.66185
嚇,9,16,1.33426,1.5131,VERB,2.48491
親,10,16,1.5131,1.76296,PART,2.94444
佢哋,11,16,1.76296,39.975,PRON,5.63479
點,1,17,0.10398,0.24737,PRON,5.78996
知,2,17,0.24737,0.38801,VERB,6.37161
佢哋,3,17,0.38801,0.52866,PRON,5.63479
睇,4,17,0.52866,0.66282,VERB,6.31716
完,5,17,0.66282,0.84794,PART,4.78749
之後,6,17,0.84794,1.64216,ADV,4.62497
竟然,7,17,1.64216,1.85668,ADV,2.07944
好,8,17,1.85668,2.02497,ADV,7.52672
冷淡,9,17,2.02497,2.51176,ADJ,0
咁,10,17,2.51176,2.68131,ADV,6.1334
話,11,17,2.68131,42.961,VERB,6.81454
唓,1,18,0.11915,0.76158,INTJ,2.94444
一,2,18,0.76158,0.90114,NUM,7.01751
頂,3,18,0.90114,1.16673,VERB,2.56495
帽,4,18,1.16673,1.31787,NOUN,0
啫,5,18,1.31787,1.979,PART,5.52943
有,6,18,1.979,2.0846,VERB,7.19744
乜,7,18,2.0846,2.19675,PRON,5.1985
咁,8,18,2.19675,2.34296,ADV,6.1334
得人驚,9,18,2.34296,2.81236,ADJ,1.79176
喎,10,18,2.81236,46.027,PART,6.83733
我,1,19,1.49993,0.18749,PRON,7.92154
幅,2,19,0.18749,0.34931,NOUN,1.38629
畫,3,19,0.34931,0.49438,NOUN,0.69315
明明,4,19,0.49438,1.06182,VERB,0.69315
都,5,19,1.06182,1.195,ADV,7.70931
唔,6,19,1.195,1.25677,ADV,7.60489
係,7,19,1.25677,1.30406,VERB,8.52119
一,8,19,1.30406,1.5069,NUM,7.01751
頂,9,19,1.5069,1.71667,VERB,2.56495
帽,10,19,1.71667,48.056,NOUN,0
而,1,20,0.07964,0.18344,CCONJ,3.82864
係,2,20,0.18344,0.27722,VERB,8.52119
一,3,20,0.27722,0.40631,NUM,7.01751
條,4,20,0.40631,0.58578,NOUN,4.43082
大,5,20,0.58578,0.75889,ADJ,5.16479
蟒蛇,6,20,0.75889,1.27532,PART,0
消化,7,20,1.27532,1.80892,VERB,0
緊,8,20,1.80892,1.89884,PART,1.38629
隻,9,20,1.89884,2.04291,NOUN,5.37528
大笨象,10,20,2.04291,50.767,NOUN,0
咁,1,21,0.11087,0.52003,ADV,6.1334
我,2,21,0.21859,0.21859,PRON,7.92154
唯有,3,21,0.3263,0.65412,ADV,1.38629
將,4,21,0.77585,0.3263,VERB,3.17805
條,5,21,1.00299,1.02107,NOUN,4.43082
蟒蛇,6,21,1.11317,1.26607,NOUN,0
肚,7,21,1.59236,0.77585,NOUN,1.09861
入邊,8,21,1.78113,1.00299,ADV,3.17805
嘅,9,21,1.98165,1.11317,PART,7.47647
情況,10,21,2.03075,1.59236,NOUN,3.46574
全部,11,21,2.58087,1.78113,ADV,3.63759
畫,12,21,3.14247,1.98165,NOUN,0.69315
嗮,13,21,3.25551,2.03075,NOUN,0
出嚟,14,21,3.46642,2.58087,VERB,0
等,1,22,0.13534,3.14247,VERB,3.85015
佢哋,2,22,0.44798,3.25551,PRON,5.63479
睇,3,22,0.61852,3.46642,VERB,6.31716
得,4,22,0.77259,54.584,PART,6.2672
明明,5,22,0.09078,0.97916,ADJ,0.69315
啲,6,22,0.21322,0.44798,PART,7.20415
佢哋,1,23,0.36709,0.76769,PRON,5.63479
真係,2,23,0.51639,0.55622,ADV,6.39192
要,3,23,0.56495,0.61852,AUX,6.44254
畫,4,23,0.9261,0.77259,VERB,0.69315
公仔,5,23,0.06952,0.70442,NOUN,1.09861
畫,6,23,0.29469,0.82721,NOUN,0.69315
出,7,23,0.43719,0.09078,VERB,4.72739
腸,8,23,0.63245,0.21322,NOUN,0.69315
噶,9,23,0.74346,1.01459,NOUN,0
我,1,24,0.85447,1.13274,PRON,7.92154
修改,2,24,1.02436,1.42557,VERB,0
完,3,24,1.18261,1.68236,PART,4.78749
之後,4,24,1.38102,1.17338,ADV,4.62497
大作二號,1,25,1.51929,1.34515,NOUN,0
就,2,25,1.65418,55.656,ADV,7.50824
誕生,3,25,0.1083,0.51639,ADJ,0
啲,1,26,0.26811,0.56495,PART,7.20415
大人,2,26,0.51296,0.9261,NOUN,1.38629
睇,3,26,0.61272,0.06952,VERB,6.31716
完,4,26,0.75476,0.29469,PART,4.78749
之後,5,26,1.00086,0.43719,ADV,4.62497
就,6,26,1.11499,0.63245,ADV,7.50824
索性,7,26,1.26393,0.74346,ADV,0
勸,8,26,1.6293,57.518,VERB,0
我,9,26,0.09296,1.02436,PRON,7.92154
無論,10,26,0.16923,1.18261,CCONJ,1.09861
係,11,26,0.54542,1.38102,VERB,8.52119
蟒蛇,12,26,0.73345,58.75,ADJ,0
嘅,13,26,0.11847,1.65418,PART,7.47647
裡面,14,26,0.75822,0.1083,NOUN,0
定係,15,26,0.91073,60.114,CCONJ,2.77259
外面,16,26,0.08439,0.51296,NOUN,0.69315
都,17,26,0.21365,0.61272,ADV,7.70931
唔,18,26,0.53298,0.75476,ADV,7.60489
好,19,26,0.65109,1.00086,ADJ,7.52672
再,20,26,0.83546,1.11499,ADV,4.58497
畫,21,26,1.49014,1.26393,NOUN,0.69315
不如,1,27,1.61294,1.6293,VERB,3.73767
畀,2,27,1.97342,0.09296,VERB,0
心機,3,27,2.29338,0.16923,NOUN,1.94591
讀,4,27,2.29338,0.54542,VERB,5.1985
吓,5,27,2.61334,0.73345,PART,4.96284
地理,6,27,2.70186,0.11847,NOUN,0
歷史,7,27,3.15479,0.75822,ADP,1.09861
數學,8,27,3.23142,0.91073,NOUN,1.94591
文法,9,27,3.76123,0.08439,NOUN,0
等等,10,27,3.93175,0.21365,PART,2.07944
仲,11,27,4.90734,0.53298,VERB,0.69315
好,12,27,5.06354,0.65109,ADJ,7.52672
喎,13,27,5.13013,0.83546,PART,6.83733
就,1,28,5.28577,1.49014,ADV,7.50824
係,2,28,5.49463,65.85,VERB,8.52119
咁,3,28,0.13152,1.97342,ADV,6.1334
六,4,28,0.34125,2.29338,NUM,3.63759
歲,5,28,0.46774,2.29338,NOUN,3.78419
嗰,6,28,1.07996,2.61334,PRON,6.05444
年,7,28,1.1779,2.70186,NOUN,5.19296
我,8,28,1.37284,3.15479,PRON,7.92154
放棄,9,28,2.39788,3.23142,VERB,2.07944
咗,10,28,3.24986,3.76123,PART,6.72863
做,11,28,4.34248,3.93175,VERB,6.42325
畫家,12,28,4.89866,4.90734,NOUN,0
尼,13,28,5.21066,5.06354,PROPN,0
個,14,28,5.38106,5.13013,NOUN,7.29912
偉大,15,28,5.60205,71.609,ADJ,1.09861
嘅,16,28,0.10077,5.49463,PART,7.47647
夢想,17,28,0.21996,0.13152,NOUN,1.38629
大作一號,1,29,0.33915,0.34125,NOUN,0
同埋,2,29,0.94081,0.46774,CCONJ,5.64191
大作二號,3,29,1.00734,1.07996,NOUN,0
嘅,4,29,1.23465,1.1779,PART,7.47647
