snt_id	snt
1.139	哦一定夠位㗎喇
1.140	我畀你尼隻綿羊仔都好細隻噶
1.141	佢哄埋幅畫度望咗陣就話
1.142	都唔係你講得咁細咋喎
1.143	你睇下佢瞓著咗喎
1.144	就係咁我認識咗小王子
2.003	我花咗好多時間先搞清楚佢喺邊度嚟
2.004	小王子問咗我好多嘢
2.005	但至於我問佢嘅
2.006	佢好似一啲都聽唔到咁
2.007	不過佢無意中都講咗好多嘢
2.008	令我慢慢清楚佢嘅底細
2.009	譬如話第一次見到我架飛機嘅時候
2.010	唔畫架飛機啦對我嚟講太複雜
2.011	佢問我尼個係乜東東嚟
2.012	尼舊唔係乜東東
2.013	佢識得飛
2.014	係我架飛機
2.015	我好自豪咁話畀佢知我識飛
2.016	於是佢好好奇咁話
2.017	乜話你喺天上邊跌落嚟
2.018	我謙虛咁答係啊
2.019	啊太好笑啦
2.020	小王子不停咁笑
2.021	令我少少唔啹
2.022	我嘅不幸唔應該成為笑話
2.023	跟住佢就話
2.024	即係話你都係喺天上邊嚟㗎啦
2.025	你邊個星球㗎
2.026	佢本來好神秘
2.027	但嗰刻我立即有頭緒估到佢喺邊度嚟
2.028	於是我有少少兀突咁問佢
2.029	你由第二個星球嚟㗎
2.030	但係佢冇答我個問題
2.031	佢一路望住我架飛機
2.032	一路微微點頭話
2.033	你坐尼個東東
2.034	我估你都唔會係喺好遠過嚟
2.035	講到尼度
2.036	佢就沉思沉思再沉思
2.037	跟住佢喺個袋度拎咗我畫嗰隻綿羊仔出嚟
2.038	當係寶咁睇到入嗮神
2.039	你可以想像到
2.040	第二個星球尼啲令人半信半疑嘅話題
2.041	會令我嘅好奇心一發不可收拾
2.042	於是我想盡量知多啲
2.043	朋友仔你邊度嚟㗎
2.044	你頭先講嘅我住嗰度即係邊啊
2.045	你諗住帶我隻綿羊仔去邊啊
2.046	佢靜咗陣就答我
2.047	好在有你個箱咋
2.048	咁綿羊仔夜晚就有間屋啦
2.049	係啊如果你乖我可以畫條繩畀你添
2.050	日頭可以綁住佢
2.051	我仲可以畫多條柱
2.052	小王子似乎唔太鐘意
2.053	綁住佢
2.054	有冇奇怪啲啊
